epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9556,2.67789,4.78945,2.91726,0.13978,0.02052,0.0751,0.0286,2.31011,2.81118,2.62051,0.00327381,0.00327381,0.00327381
2,69.0061,2.00986,2.6458,2.23069,0.18463,0.17615,0.15709,0.06143,2.17232,3.19405,2.57125,0.00660708,0.00660708,0.00660708
3,101.205,2.01581,2.55454,2.17687,0.05799,0.02643,0.03358,0.01501,2.55888,5.48816,3.13332,0.00994009,0.00994009,0.00994009
4,134.047,2.06377,2.65264,2.23409,0.00962,0.04386,0.00566,0.00241,2.83474,17.2239,4.11143,0.00999912,0.00999912,0.00999912
5,166.673,2.036,2.53495,2.26251,0.05075,0.03615,0.02762,0.0109,3.16911,12.5569,3.69251,0.00999844,0.00999844,0.00999844
6,198.962,2.01008,2.45703,2.25997,0.17985,0.07857,0.09913,0.04285,2.36047,4.54759,2.90646,0.00999756,0.00999756,0.00999756
7,231.256,1.97652,2.3858,2.24429,0.10672,0.08322,0.07184,0.03339,2.40282,4.19041,2.81933,0.00999648,0.00999648,0.00999648
8,263.366,1.95981,2.32186,2.22562,0.13915,0.063,0.08866,0.04097,2.38695,3.86386,2.90821,0.00999521,0.00999521,0.00999521
9,295.616,1.94913,2.2759,2.21362,0.24047,0.16179,0.1792,0.07586,2.16789,2.78105,2.61685,0.00999375,0.00999375,0.00999375
10,327.914,1.93055,2.2362,2.20607,0.23931,0.18324,0.19314,0.08803,2.07906,2.66383,2.4796,0.00999209,0.00999209,0.00999209
11,360.325,1.91737,2.18064,2.19367,0.24176,0.17397,0.19062,0.08633,2.08113,2.65818,2.49637,0.00999023,0.00999023,0.00999023
12,392.377,1.90852,2.15865,2.1651,0.19362,0.0954,0.13366,0.0544,2.23102,3.1279,2.61563,0.00998818,0.00998818,0.00998818
13,424.112,1.90546,2.13675,2.183,0.15669,0.01663,0.08489,0.04266,2.92695,5.21493,3.57883,0.00998594,0.00998594,0.00998594
14,456.525,1.88692,2.09861,2.16226,0.44142,0.20076,0.31589,0.14756,2.04245,2.40484,2.42471,0.0099835,0.0099835,0.0099835
15,488.644,1.87672,2.06032,2.14743,0.38827,0.17014,0.26489,0.12759,2.00985,2.41849,2.40779,0.00998086,0.00998086,0.00998086
16,521.086,1.86655,2.03681,2.14027,0.38564,0.24598,0.30121,0.13678,1.98615,2.3011,2.35985,0.00997803,0.00997803,0.00997803
17,553.812,1.87132,2.00363,2.13686,0.38477,0.22033,0.29186,0.14468,1.99627,2.22812,2.3391,0.00997501,0.00997501,0.00997501
18,586.1,1.85793,1.98809,2.13038,0.38326,0.17773,0.27494,0.12611,2.02302,2.41772,2.37726,0.00997179,0.00997179,0.00997179
19,618.336,1.84896,1.97518,2.10902,0.44808,0.2764,0.352,0.15637,1.98028,2.10858,2.32841,0.00996838,0.00996838,0.00996838
20,650.122,1.83406,1.9467,2.09805,0.38926,0.15371,0.26815,0.12859,2.01895,2.31273,2.39668,0.00996477,0.00996477,0.00996477
21,681.923,1.8354,1.92193,2.10101,0.35524,0.17839,0.25307,0.12135,2.06563,2.42749,2.43568,0.00996097,0.00996097,0.00996097
22,714.678,1.81938,1.90788,2.0935,0.46631,0.23512,0.35475,0.17127,1.98319,2.10902,2.35748,0.00995697,0.00995697,0.00995697
23,746.494,1.8199,1.87751,2.09654,0.5052,0.21935,0.35285,0.16796,1.98391,2.14411,2.30956,0.00995278,0.00995278,0.00995278
24,779.18,1.80969,1.85861,2.08426,0.41653,0.28991,0.33962,0.16194,1.94851,2.09742,2.32349,0.0099484,0.0099484,0.0099484
25,811.843,1.81084,1.8512,2.08748,0.48966,0.25083,0.35844,0.15541,2.00076,2.14427,2.3754,0.00994383,0.00994383,0.00994383
26,844.172,1.80303,1.83317,2.0811,0.45299,0.25826,0.3421,0.15399,1.97251,1.96571,2.36534,0.00993906,0.00993906,0.00993906
27,878.064,1.79741,1.80983,2.06974,0.35777,0.28798,0.31363,0.14694,1.9508,2.02824,2.31016,0.0099341,0.0099341,0.0099341
28,911.084,1.78452,1.7976,2.06585,0.43592,0.32801,0.38015,0.1715,1.95289,1.96292,2.32161,0.00992894,0.00992894,0.00992894
29,945.439,1.78308,1.78377,2.06856,0.45664,0.29457,0.36994,0.17476,1.96126,2.05215,2.34211,0.00992359,0.00992359,0.00992359
30,980.075,1.77624,1.76274,2.05557,0.50545,0.30894,0.39217,0.17909,1.95974,1.98779,2.32617,0.00991805,0.00991805,0.00991805
31,1012.89,1.76395,1.74454,2.04213,0.43653,0.26441,0.34858,0.15978,2.01932,2.17851,2.40551,0.00991232,0.00991232,0.00991232
32,1045.65,1.76863,1.72878,2.04671,0.53757,0.32088,0.42302,0.19963,1.94757,1.9443,2.31729,0.0099064,0.0099064,0.0099064
33,1078.31,1.76247,1.71974,2.04545,0.51509,0.25339,0.38273,0.17403,2.02393,2.22645,2.36905,0.00990028,0.00990028,0.00990028
34,1111.57,1.74556,1.70057,2.04338,0.61932,0.35269,0.47716,0.24159,1.95507,1.91122,2.33443,0.00989398,0.00989398,0.00989398
35,1144.32,1.75447,1.67709,2.05018,0.4559,0.34047,0.39507,0.19376,1.95881,1.97064,2.33599,0.00988748,0.00988748,0.00988748
36,1177.21,1.74873,1.65948,2.02696,0.48661,0.36913,0.43096,0.20813,2.00896,1.96419,2.37241,0.00988079,0.00988079,0.00988079
37,1210.14,1.73303,1.63621,2.01467,0.49009,0.29522,0.3829,0.17589,2.00863,2.01429,2.36741,0.00987391,0.00987391,0.00987391
38,1242.99,1.7323,1.62902,2.02449,0.48379,0.37286,0.41204,0.1964,1.9812,1.89593,2.35212,0.00986684,0.00986684,0.00986684
39,1275.99,1.72633,1.61055,2.01612,0.59261,0.39393,0.48149,0.24409,1.98891,1.89229,2.36143,0.00985958,0.00985958,0.00985958
40,1308.85,1.72536,1.59599,2.00031,0.48034,0.33941,0.40312,0.19291,1.9953,1.98501,2.35084,0.00985213,0.00985213,0.00985213
41,1342.74,1.71621,1.57719,2.00241,0.5362,0.3247,0.42448,0.19799,2.00513,1.92828,2.34341,0.00984449,0.00984449,0.00984449
42,1376.18,1.71371,1.57659,2.00052,0.45966,0.38198,0.40989,0.19176,1.99494,1.90922,2.38401,0.00983666,0.00983666,0.00983666
43,1408.56,1.70599,1.55321,1.98918,0.58191,0.40558,0.49663,0.23564,2.01161,1.86776,2.36241,0.00982864,0.00982864,0.00982864
44,1441.36,1.69741,1.52885,1.97986,0.48485,0.38918,0.41949,0.18803,2.0278,1.90819,2.39017,0.00982043,0.00982043,0.00982043
45,1474.73,1.69435,1.51777,1.98802,0.54394,0.40776,0.48068,0.22029,1.99093,1.83873,2.37037,0.00981204,0.00981204,0.00981204
46,1508.48,1.69583,1.50122,1.9817,0.57259,0.41652,0.48694,0.2344,1.99772,1.83493,2.39236,0.00980345,0.00980345,0.00980345
47,1541.76,1.68209,1.4869,1.97918,0.59234,0.36912,0.46187,0.23208,2.0344,1.91194,2.40325,0.00979468,0.00979468,0.00979468
48,1575.24,1.68405,1.47591,1.96894,0.51075,0.3721,0.4278,0.19622,2.04801,1.87205,2.42533,0.00978572,0.00978572,0.00978572
49,1608.74,1.67417,1.45032,1.96683,0.58074,0.41988,0.49697,0.22695,2.04766,1.80794,2.41047,0.00977658,0.00977658,0.00977658
50,1642.21,1.66659,1.43639,1.95163,0.51685,0.39867,0.44994,0.22511,2.0583,1.89355,2.41937,0.00976725,0.00976725,0.00976725
51,1675.5,1.66662,1.42097,1.95184,0.54118,0.40807,0.47448,0.22677,2.04898,1.91453,2.38328,0.00975773,0.00975773,0.00975773
52,1708.94,1.66121,1.40854,1.94538,0.54711,0.33904,0.44666,0.20613,2.10778,2.11781,2.46954,0.00974803,0.00974803,0.00974803
53,1742.19,1.65423,1.40281,1.9416,0.52115,0.37486,0.44614,0.2012,2.10339,1.87635,2.46301,0.00973814,0.00973814,0.00973814
54,1775.46,1.64249,1.37621,1.92427,0.55945,0.41234,0.48579,0.21552,2.07928,1.84358,2.44463,0.00972806,0.00972806,0.00972806
55,1809.21,1.6371,1.34286,1.92109,0.49981,0.45841,0.47654,0.22128,2.0882,1.88012,2.45655,0.0097178,0.0097178,0.0097178
56,1842.7,1.63489,1.33984,1.92681,0.5302,0.37716,0.45377,0.21445,2.10198,1.87898,2.49146,0.00970736,0.00970736,0.00970736
57,1875.53,1.61676,1.32833,1.91157,0.56094,0.40421,0.48759,0.22678,2.11819,1.82404,2.48461,0.00969673,0.00969673,0.00969673
58,1908.39,1.62195,1.30371,1.91096,0.5511,0.4316,0.48539,0.22685,2.09373,1.85133,2.47221,0.00968592,0.00968592,0.00968592
59,1941.28,1.60834,1.29425,1.90327,0.52321,0.48436,0.49477,0.21861,2.10531,1.78338,2.49036,0.00967493,0.00967493,0.00967493
60,1974.2,1.60052,1.27974,1.89688,0.5751,0.4065,0.49119,0.23851,2.13613,1.8983,2.49778,0.00966375,0.00966375,0.00966375
61,2007.19,1.59443,1.26074,1.89182,0.51053,0.41342,0.45157,0.21885,2.13272,1.87408,2.50229,0.00965239,0.00965239,0.00965239
62,2040.21,1.59237,1.25172,1.89383,0.505,0.43774,0.46302,0.22129,2.13587,1.86873,2.52966,0.00964085,0.00964085,0.00964085
63,2073.66,1.56948,1.23163,1.86929,0.53045,0.45929,0.48952,0.2308,2.1706,1.80237,2.55168,0.00962913,0.00962913,0.00962913
64,2106.83,1.57579,1.21503,1.8744,0.56527,0.43578,0.49559,0.21737,2.15088,1.85696,2.51303,0.00961723,0.00961723,0.00961723
65,2140.13,1.56035,1.20123,1.86712,0.53857,0.40037,0.46524,0.20926,2.2146,1.98468,2.61315,0.00960515,0.00960515,0.00960515
66,2173.86,1.56546,1.19843,1.86092,0.54026,0.44648,0.48274,0.20891,2.17576,1.86258,2.56285,0.00959289,0.00959289,0.00959289
67,2207.3,1.55753,1.17148,1.85247,0.46805,0.46617,0.47213,0.21768,2.18391,1.88716,2.58189,0.00958044,0.00958044,0.00958044
68,2240.33,1.54717,1.17124,1.85882,0.53709,0.43568,0.48674,0.21731,2.17747,1.88013,2.55649,0.00956782,0.00956782,0.00956782
69,2273.27,1.55012,1.14045,1.85096,0.61814,0.40773,0.51006,0.23769,2.2141,1.85047,2.57818,0.00955502,0.00955502,0.00955502
