epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.77,2.31564,2.65132,2.59482,0,0,0,0,2.36991,2.19049,2.87398,0.00329365,0.00329365,0.00329365
2,90.415,1.79938,1.59987,2.07168,2e-05,0.00714,1e-05,0,3.17424,35.2768,3.50187,0.00662692,0.00662692,0.00662692
3,130.623,1.97385,1.85855,2.25345,0,0.01409,0,0,3.59035,7484.4,8.86621,0.00995993,0.00995993,0.00995993
4,171.69,2.10555,2.09678,2.41055,2e-05,0.04766,2e-05,0,3.84483,1685.39,8.36108,0.00999912,0.00999912,0.00999912
5,211.094,2.11296,2.0502,2.40235,2e-05,0.03643,4e-05,0,4.22531,515,9.33506,0.00999844,0.00999844,0.00999844
6,250.266,2.08471,1.96577,2.41035,7e-05,0.06778,3e-05,1e-05,3.24097,123.255,5.07784,0.00999756,0.00999756,0.00999756
7,288.623,2.03683,1.91296,2.34235,7e-05,0.06778,3e-05,1e-05,3.12358,3.03495,3.9355,0.00999648,0.00999648,0.00999648
8,327.655,1.98778,1.80036,2.30074,0.10016,0.04429,5e-05,1e-05,2.96781,67.4814,3.92453,0.00999521,0.00999521,0.00999521
9,365.933,1.94164,1.68956,2.27623,0.10016,0.04429,5e-05,1e-05,3.50708,2.95792,5.33606,0.00999375,0.00999375,0.00999375
10,405.047,1.938,1.72093,2.25747,0.00331,0.03625,0.00185,0.00045,2.41413,3.72443,2.89818,0.00999209,0.00999209,0.00999209
11,444.222,1.8977,1.64462,2.25107,0.11176,0.0675,0.02315,0.01459,2.59703,4.92102,3.18033,0.00999023,0.00999023,0.00999023
12,483.053,1.84783,1.5533,2.16664,0.06175,0.09831,0.03734,0.0139,2.32899,2.52174,2.83959,0.00998818,0.00998818,0.00998818
13,522.307,1.85244,1.49967,2.20282,0.01959,0.06107,0.00631,0.00226,2.22658,4.62086,2.73615,0.00998594,0.00998594,0.00998594
14,561.225,1.79521,1.47457,2.13309,0.16613,0.08968,0.09177,0.05224,2.3967,2.90301,2.88086,0.0099835,0.0099835,0.0099835
15,600.068,1.80254,1.45295,2.16932,0.2183,0.10044,0.11793,0.05359,2.2041,2.46804,2.75274,0.00998086,0.00998086,0.00998086
16,638.427,1.77186,1.41995,2.11385,0.11853,0.03614,0.06399,0.0254,2.20592,1.54943,2.66109,0.00997803,0.00997803,0.00997803
17,677.048,1.73558,1.34001,2.08349,0.27083,0.16377,0.19238,0.08527,2.11044,1.62231,2.57029,0.00997501,0.00997501,0.00997501
18,715.806,1.73978,1.31165,2.09432,0.18933,0.15379,0.12817,0.05979,2.18415,1.52595,2.73901,0.00997179,0.00997179,0.00997179
19,754.25,1.7239,1.31671,2.07938,0.17136,0.08373,0.12988,0.054,2.09863,1.31244,2.58174,0.00996838,0.00996838,0.00996838
20,792.376,1.7125,1.23049,2.05483,0.04,0.00063,0.02013,0.01007,2.47052,1.96597,3.09801,0.00996477,0.00996477,0.00996477
21,830.836,1.69427,1.18346,2.03739,0.24987,0.19219,0.1923,0.08646,2.07299,1.30767,2.49744,0.00996097,0.00996097,0.00996097
22,869.1,1.68336,1.16331,2.01832,0.37538,0.0663,0.21101,0.10992,2.18019,1.45964,2.69038,0.00995697,0.00995697,0.00995697
