epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0002,2.37755,3.78385,2.33145,0.25614,0.22521,0.15994,0.06012,2.17355,4.27582,2.28859,0.000220569,0.000220569,0.000220569
2,98.7019,2.12707,2.697,2.19702,0.13016,0.049,0.04772,0.02361,2.67039,15.5492,2.91776,0.000442794,0.000442794,0.000442794
3,141.627,2.14856,2.61932,2.20671,0.14482,0.15188,0.10512,0.04113,2.2472,4.13035,2.4431,0.000664586,0.000664586,0.000664586
4,185.534,2.07933,2.50085,2.16781,0.22903,0.15743,0.17501,0.0707,2.14444,2.8533,2.31867,0.000665535,0.000665535,0.000665535
5,227.727,2.04633,2.35882,2.11363,0.36823,0.09118,0.22946,0.10524,2.10654,2.41769,2.23347,0.000664397,0.000664397,0.000664397
6,269.181,1.98722,2.26617,2.08118,0.37811,0.11508,0.23492,0.12838,2.11842,2.85755,2.24937,0.000662935,0.000662935,0.000662935
7,314.257,1.95257,2.18584,2.06426,0.42903,0.13152,0.26657,0.10462,2.08074,2.54243,2.22163,0.000661152,0.000661152,0.000661152
8,356.386,1.94636,2.13931,2.04642,0.28601,0.1432,0.20742,0.10028,2.04679,2.3441,2.22028,0.000659049,0.000659049,0.000659049
9,399.049,1.9186,2.09157,2.0213,0.35514,0.12707,0.22989,0.10498,2.0672,2.38803,2.20398,0.000656627,0.000656627,0.000656627
10,442.536,1.9086,2.05643,2.00691,0.46705,0.12862,0.2881,0.12601,2.05706,2.19988,2.18696,0.00065389,0.00065389,0.00065389
11,486.191,1.8783,2.02691,1.99824,0.31566,0.16462,0.23221,0.10688,2.08265,2.30292,2.22408,0.000650841,0.000650841,0.000650841
12,529.809,1.87362,1.99035,1.97773,0.36291,0.15114,0.25204,0.12484,2.01971,2.24897,2.16664,0.000647481,0.000647481,0.000647481
13,570.912,1.86967,1.93995,1.9535,0.35603,0.19106,0.26715,0.12153,2.0182,2.15228,2.14859,0.000643815,0.000643815,0.000643815
14,615.285,1.84169,1.92752,1.97168,0.40719,0.20592,0.29559,0.14053,2.02197,2.08546,2.1808,0.000639845,0.000639845,0.000639845
15,659.073,1.84268,1.90383,1.96349,0.33473,0.12809,0.22167,0.10918,2.09624,2.41481,2.20651,0.000635577,0.000635577,0.000635577
16,701.813,1.83282,1.88417,1.93465,0.34769,0.15639,0.23894,0.11968,2.00969,2.19554,2.14475,0.000631014,0.000631014,0.000631014
17,747.555,1.81817,1.86373,1.95254,0.51155,0.15277,0.32726,0.1714,2.01445,2.08353,2.17015,0.000626161,0.000626161,0.000626161
18,790.43,1.81584,1.84175,1.93411,0.36971,0.12785,0.24479,0.13187,2.04691,2.19622,2.17877,0.000621022,0.000621022,0.000621022
19,830.59,1.80584,1.80474,1.90458,0.51343,0.19507,0.34552,0.14606,1.99878,2.15023,2.13226,0.000615603,0.000615603,0.000615603
20,873.113,1.79042,1.78004,1.91755,0.42767,0.20778,0.30958,0.15677,2.00502,2.03786,2.16833,0.000609908,0.000609908,0.000609908
21,917.662,1.7972,1.77157,1.90865,0.41938,0.21633,0.30864,0.1522,1.99704,2.0297,2.13765,0.000603944,0.000603944,0.000603944
22,960.278,1.78092,1.7587,1.90451,0.47915,0.2121,0.33677,0.16977,1.98802,2.1261,2.1143,0.000597717,0.000597717,0.000597717
23,1007.43,1.75539,1.71936,1.9117,0.40211,0.20619,0.29742,0.14785,2.00581,2.11643,2.15511,0.000591232,0.000591232,0.000591232
24,1050.45,1.76137,1.70309,1.87542,0.44097,0.22314,0.31848,0.15845,1.99148,2.04176,2.10772,0.000584495,0.000584495,0.000584495
25,1096.32,1.74903,1.69643,1.90281,0.45709,0.21191,0.3254,0.17403,1.92875,1.93472,2.06774,0.000577515,0.000577515,0.000577515
26,1141.15,1.74349,1.67348,1.88425,0.3894,0.26094,0.31186,0.15445,2.00132,2.06327,2.15563,0.000570297,0.000570297,0.000570297
27,1183,1.73425,1.64831,1.85537,0.57653,0.27427,0.40995,0.20601,1.96494,1.9743,2.12171,0.000562848,0.000562848,0.000562848
28,1227.89,1.72614,1.6208,1.88976,0.42922,0.23521,0.32703,0.15933,2.0347,2.03084,2.16057,0.000555177,0.000555177,0.000555177
29,1268.01,1.72873,1.60394,1.83005,0.40344,0.26487,0.32618,0.16165,1.9699,1.90073,2.08895,0.00054729,0.00054729,0.00054729
30,1310.15,1.7148,1.59293,1.84741,0.42056,0.27053,0.33283,0.16583,1.98278,1.91424,2.13046,0.000539195,0.000539195,0.000539195
31,1354.91,1.6923,1.55931,1.85681,0.40508,0.26686,0.32722,0.16746,2.006,1.95231,2.15133,0.000530901,0.000530901,0.000530901
32,1397.31,1.68593,1.52249,1.80905,0.43206,0.28352,0.35639,0.18205,1.97504,2.00383,2.1109,0.000522415,0.000522415,0.000522415
33,1439.79,1.67993,1.51265,1.8188,0.43343,0.22951,0.32,0.15818,2.01523,2.00606,2.13356,0.000513746,0.000513746,0.000513746
34,1481.76,1.66601,1.47783,1.81025,0.45834,0.26821,0.35586,0.17985,2.03407,1.96959,2.15048,0.000504903,0.000504903,0.000504903
35,1523.18,1.66846,1.47279,1.80104,0.40933,0.28237,0.33963,0.17013,2.00338,1.90984,2.14847,0.000495893,0.000495893,0.000495893
36,1569.7,1.66182,1.44575,1.8131,0.4969,0.317,0.39577,0.18061,2.00573,1.87758,2.14698,0.000486727,0.000486727,0.000486727
37,1611.84,1.64094,1.41769,1.766,0.38672,0.30181,0.3305,0.16419,2.03392,1.87381,2.14916,0.000477412,0.000477412,0.000477412
38,1657.77,1.63466,1.41169,1.78083,0.41393,0.29412,0.34233,0.16911,2.0355,1.95315,2.16141,0.000467959,0.000467959,0.000467959
39,1704.43,1.62258,1.37174,1.79678,0.40747,0.28904,0.33437,0.16887,2.0376,1.9506,2.15474,0.000458377,0.000458377,0.000458377
40,1746.2,1.61717,1.35662,1.74768,0.44659,0.32313,0.37782,0.19302,2.07898,1.8871,2.20185,0.000448674,0.000448674,0.000448674
41,1789.27,1.60171,1.32763,1.75185,0.41203,0.29849,0.3464,0.17166,2.04436,1.86718,2.18175,0.000438862,0.000438862,0.000438862
