epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.3931,2.33364,3.86077,2.6242,0.07512,0.00809,0.03805,0.02161,2.5507,3.35969,2.91857,0.00329365,0.00329365,0.00329365
2,89.1249,1.78831,2.16957,2.05976,0.01598,0.03661,0.00468,0.00093,3.04403,20.569,3.27964,0.00662692,0.00662692,0.00662692
3,127.784,1.93934,2.29339,2.20992,1e-05,0.01929,1e-05,0,3.67948,219.165,5.11097,0.00995993,0.00995993,0.00995993
4,166.526,2.11573,2.65061,2.38037,5e-05,0.08588,3e-05,1e-05,3.44349,766.507,4.93042,0.00999912,0.00999912,0.00999912
5,205.069,2.06138,2.54532,2.37584,1e-05,0.01429,1e-05,0,3.46865,262.662,5.52884,0.00999844,0.00999844,0.00999844
6,243.542,2.01187,2.50617,2.3232,4e-05,0.04838,2e-05,1e-05,3.46719,189.938,4.76117,0.00999756,0.00999756,0.00999756
7,281.891,1.97737,2.41477,2.30085,4e-05,0.04838,2e-05,1e-05,3.79881,114.905,5.34766,0.00999648,0.00999648,0.00999648
8,319.612,1.94487,2.31651,2.27507,4e-05,0.04838,2e-05,1e-05,3.08727,8.98067,4.28242,0.00999521,0.00999521,0.00999521
9,357.114,1.89274,2.20119,2.2277,4e-05,0.04838,2e-05,1e-05,3.0963,5.05731,4.02544,0.00999375,0.00999375,0.00999375
10,395.455,1.88949,2.20414,2.23025,0.10012,0.005,4e-05,2e-05,3.39543,13.5038,4.99218,0.00999209,0.00999209,0.00999209
11,433.791,1.82378,2.09404,2.17107,0.30941,0.02839,0.07987,0.05167,2.44833,10.3926,2.99358,0.00999023,0.00999023,0.00999023
12,472.251,1.83388,2.04614,2.20536,0.20086,0.005,0.0004,0.00012,2.49819,4.63129,3.30051,0.00998818,0.00998818,0.00998818
13,510.071,1.79144,1.95167,2.14111,0.11299,0.00975,0.05904,0.03116,2.35245,2.86484,2.94362,0.00998594,0.00998594,0.00998594
14,547.85,1.76844,1.90102,2.127,0.24507,0.02205,0.12835,0.075,2.36336,2.88139,2.94414,0.0099835,0.0099835,0.0099835
15,585.897,1.752,1.88067,2.10531,0.15663,0.07824,0.09353,0.04718,2.35609,2.71924,2.9113,0.00998086,0.00998086,0.00998086
16,623.723,1.73862,1.79631,2.07181,0.22445,0.11137,0.14628,0.06812,2.19162,2.39553,2.68059,0.00997803,0.00997803,0.00997803
17,661.483,1.71822,1.7704,2.0656,0.12629,0.01074,0.06605,0.02511,2.28947,3.49752,2.8376,0.00997501,0.00997501,0.00997501
18,699.249,1.71163,1.72827,2.05525,0.24754,0.06664,0.15035,0.06943,2.1454,2.45865,2.69485,0.00997179,0.00997179,0.00997179
19,737.279,1.69553,1.68678,2.04755,0.15537,0.07348,0.09569,0.05551,2.16257,2.785,2.70759,0.00996838,0.00996838,0.00996838
20,775.274,1.67757,1.65291,2.0278,0.28011,0.15439,0.18669,0.08845,2.09227,2.32961,2.58139,0.00996477,0.00996477,0.00996477
21,813.357,1.67102,1.64115,2.02707,0.29672,0.13609,0.19988,0.09824,2.03963,2.00278,2.43008,0.00996097,0.00996097,0.00996097
22,851.804,1.66471,1.59526,1.99697,0.18188,0.14454,0.13637,0.06141,2.11972,2.40143,2.55336,0.00995697,0.00995697,0.00995697
23,889.619,1.6567,1.57377,2.00418,0.27693,0.09024,0.17836,0.09441,2.08084,1.99435,2.47546,0.00995278,0.00995278,0.00995278
24,927.551,1.64771,1.54697,1.99051,0.25268,0.17374,0.19525,0.08644,2.09798,1.95907,2.53202,0.0099484,0.0099484,0.0099484
25,965.25,1.64877,1.52309,1.99081,0.32476,0.07922,0.19389,0.11203,2.07514,2.10339,2.49113,0.00994383,0.00994383,0.00994383
26,1003.32,1.64023,1.50719,1.98925,0.28089,0.19435,0.2339,0.10894,2.0334,1.85162,2.43966,0.00993906,0.00993906,0.00993906
27,1041.11,1.63344,1.46145,1.97719,0.2943,0.1295,0.20665,0.08657,2.0346,1.93907,2.45594,0.0099341,0.0099341,0.0099341
28,1079.01,1.62218,1.45649,1.97237,0.25326,0.13144,0.1834,0.09496,2.07213,1.92178,2.49211,0.00992894,0.00992894,0.00992894
29,1116.82,1.6231,1.44992,1.96152,0.31115,0.10517,0.20227,0.10162,2.15505,2.23161,2.61986,0.00992359,0.00992359,0.00992359
30,1154.65,1.63753,1.51565,1.96748,0.3189,0.09764,0.19286,0.1009,2.04287,2.15195,2.47192,0.00991805,0.00991805,0.00991805
31,1192.42,1.62714,1.46353,1.96347,0.39796,0.09095,0.23808,0.12135,2.0477,1.92726,2.46623,0.00991232,0.00991232,0.00991232
32,1230.58,1.61533,1.42243,1.96039,0.49256,0.1558,0.3216,0.16649,2.03334,1.79667,2.45386,0.0099064,0.0099064,0.0099064
33,1268.51,1.60403,1.39401,1.94979,0.42555,0.15922,0.28576,0.13376,2.03758,1.80684,2.48159,0.00990028,0.00990028,0.00990028
34,1306.6,1.61087,1.4212,1.94822,0.21468,0.033,0.11723,0.05775,2.34434,3.4602,2.84424,0.00989398,0.00989398,0.00989398
35,1344.46,1.58811,1.39102,1.93898,0.47725,0.20771,0.33776,0.18098,2.05849,1.79484,2.46865,0.00988748,0.00988748,0.00988748
36,1382.63,1.58267,1.36974,1.93234,0.48387,0.14653,0.31067,0.17081,2.05821,1.96026,2.47219,0.00988079,0.00988079,0.00988079
37,1420.42,1.59741,1.35984,1.94402,0.33822,0.09148,0.21028,0.10529,2.13277,2.30158,2.54548,0.00987391,0.00987391,0.00987391
38,1458.22,1.59603,1.36533,1.93131,0.38573,0.11984,0.24556,0.12488,2.04861,1.97318,2.4751,0.00986684,0.00986684,0.00986684
39,1496,1.58177,1.34224,1.9223,0.40826,0.14599,0.27237,0.12733,2.04348,1.91696,2.45612,0.00985958,0.00985958,0.00985958
40,1533.77,1.5803,1.33775,1.92677,0.35795,0.08355,0.21762,0.11379,2.08224,2.24668,2.53031,0.00985213,0.00985213,0.00985213
41,1571.71,1.57183,1.31429,1.91864,0.5294,0.14793,0.33288,0.15425,2.02014,1.78443,2.38091,0.00984449,0.00984449,0.00984449
42,1609.63,1.56717,1.29668,1.91103,0.29845,0.11274,0.19607,0.09887,2.08687,2.00612,2.52722,0.00983666,0.00983666,0.00983666
43,1647.52,1.56132,1.3025,1.90579,0.44896,0.17716,0.29553,0.14053,2.03032,1.73856,2.42428,0.00982864,0.00982864,0.00982864
44,1685.29,1.57355,1.29666,1.91911,0.43317,0.11199,0.26383,0.13631,2.07951,1.95303,2.55773,0.00982043,0.00982043,0.00982043
45,1723.34,1.57304,1.27164,1.91192,0.52492,0.13134,0.31383,0.17027,2.06675,2.07953,2.52162,0.00981204,0.00981204,0.00981204
46,1761.11,1.56979,1.26346,1.91074,0.57595,0.17257,0.36637,0.16766,2.00243,1.69844,2.40023,0.00980345,0.00980345,0.00980345
47,1798.95,1.55975,1.26501,1.90083,0.45651,0.15092,0.30329,0.15355,2.06557,1.79711,2.47727,0.00979468,0.00979468,0.00979468
48,1836.82,1.55323,1.23447,1.90345,0.47402,0.18291,0.32199,0.15515,2.01991,1.71546,2.40892,0.00978572,0.00978572,0.00978572
49,1874.83,1.54318,1.22384,1.89542,0.70806,0.19659,0.44534,0.23246,2.01087,1.70436,2.44198,0.00977658,0.00977658,0.00977658
50,1912.85,1.53813,1.20401,1.88787,0.57535,0.22093,0.39319,0.20413,2.01593,1.67823,2.45421,0.00976725,0.00976725,0.00976725
51,1950.6,1.5332,1.20013,1.88415,0.5598,0.17253,0.36294,0.20396,2.02137,1.71796,2.42933,0.00975773,0.00975773,0.00975773
