epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1173,2.33364,3.86077,2.6242,0.07512,0.00809,0.03805,0.02161,2.5507,3.35969,2.91857,0.00329365,0.00329365,0.00329365
2,77.9208,1.78831,2.16957,2.05976,0.01598,0.03661,0.00468,0.00093,3.04403,20.569,3.27964,0.00662692,0.00662692,0.00662692
3,117.201,1.93934,2.29339,2.20992,1e-05,0.01929,1e-05,0,3.67948,219.165,5.11097,0.00995993,0.00995993,0.00995993
4,156.604,2.11573,2.65061,2.38037,5e-05,0.08588,3e-05,1e-05,3.44349,766.507,4.93042,0.00999912,0.00999912,0.00999912
5,195.644,2.06138,2.54532,2.37584,1e-05,0.01429,1e-05,0,3.46865,262.662,5.52884,0.00999844,0.00999844,0.00999844
6,234.727,2.01187,2.50617,2.3232,4e-05,0.04838,2e-05,1e-05,3.46719,189.938,4.76117,0.00999756,0.00999756,0.00999756
7,273.522,1.97737,2.41477,2.30085,4e-05,0.04838,2e-05,1e-05,3.79881,114.905,5.34766,0.00999648,0.00999648,0.00999648
8,311.804,1.94487,2.31651,2.27507,4e-05,0.04838,2e-05,1e-05,3.08727,8.98067,4.28242,0.00999521,0.00999521,0.00999521
9,350.01,1.89274,2.20119,2.2277,4e-05,0.04838,2e-05,1e-05,3.0963,5.05731,4.02544,0.00999375,0.00999375,0.00999375
10,388.953,1.88949,2.20414,2.23025,0.10012,0.005,4e-05,2e-05,3.39543,13.5038,4.99218,0.00999209,0.00999209,0.00999209
11,427.795,1.82378,2.09404,2.17107,0.30941,0.02839,0.07987,0.05167,2.44833,10.3926,2.99358,0.00999023,0.00999023,0.00999023
12,466.66,1.83388,2.04614,2.20536,0.20086,0.005,0.0004,0.00012,2.49819,4.63129,3.30051,0.00998818,0.00998818,0.00998818
13,504.891,1.79144,1.95167,2.14111,0.11299,0.00975,0.05904,0.03116,2.35245,2.86484,2.94362,0.00998594,0.00998594,0.00998594
14,543.247,1.76844,1.90102,2.127,0.24507,0.02205,0.12835,0.075,2.36336,2.88139,2.94414,0.0099835,0.0099835,0.0099835
15,581.708,1.752,1.88067,2.10531,0.15663,0.07824,0.09353,0.04718,2.35609,2.71924,2.9113,0.00998086,0.00998086,0.00998086
16,620.023,1.73862,1.79631,2.07181,0.22445,0.11137,0.14628,0.06812,2.19162,2.39553,2.68059,0.00997803,0.00997803,0.00997803
17,658.311,1.71822,1.7704,2.0656,0.12629,0.01074,0.06605,0.02511,2.28947,3.49752,2.8376,0.00997501,0.00997501,0.00997501
18,696.547,1.71163,1.72827,2.05525,0.24754,0.06664,0.15035,0.06943,2.1454,2.45865,2.69485,0.00997179,0.00997179,0.00997179
19,735.143,1.69553,1.68678,2.04755,0.15537,0.07348,0.09569,0.05551,2.16257,2.785,2.70759,0.00996838,0.00996838,0.00996838
20,773.752,1.67757,1.65291,2.0278,0.28011,0.15439,0.18669,0.08845,2.09227,2.32961,2.58139,0.00996477,0.00996477,0.00996477
21,812.254,1.67102,1.64115,2.02707,0.29672,0.13609,0.19988,0.09824,2.03963,2.00278,2.43008,0.00996097,0.00996097,0.00996097
22,850.95,1.66471,1.59526,1.99697,0.18188,0.14454,0.13637,0.06141,2.11972,2.40143,2.55336,0.00995697,0.00995697,0.00995697
23,889.371,1.6567,1.57377,2.00418,0.27693,0.09024,0.17836,0.09441,2.08084,1.99435,2.47546,0.00995278,0.00995278,0.00995278
24,927.777,1.64771,1.54697,1.99051,0.25268,0.17374,0.19525,0.08644,2.09798,1.95907,2.53202,0.0099484,0.0099484,0.0099484
25,966.088,1.64877,1.52309,1.99081,0.32476,0.07922,0.19389,0.11203,2.07514,2.10339,2.49113,0.00994383,0.00994383,0.00994383
