epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4114,2.38226,4.0513,2.65316,0.103,0.01214,0.05061,0.01519,2.4163,3.95924,2.81216,0.00328358,0.00328358,0.00328358
2,78.8169,1.7862,2.26973,2.02476,0.10094,0.02643,0.0002,8e-05,2.86213,11.9231,3.51576,0.00661685,0.00661685,0.00661685
3,116.94,1.93901,2.3576,2.1254,0.00016,0.01089,4e-05,1e-05,3.61322,24.6529,5.24524,0.00994986,0.00994986,0.00994986
4,155.579,2.08267,2.55114,2.28278,4e-05,0.0739,2e-05,0,3.92944,482.546,5.82484,0.00999912,0.00999912,0.00999912
5,194.584,2.07602,2.55401,2.35389,0.10022,0.02179,5e-05,1e-05,3.65614,366.168,7.1521,0.00999844,0.00999844,0.00999844
6,232.826,1.99284,2.47397,2.29342,0.00121,0.07115,0.0003,9e-05,3.19547,162.559,4.14565,0.00999756,0.00999756,0.00999756
7,270.945,1.96794,2.33825,2.25301,0.02791,0.02303,0.01402,0.00517,3.03218,10.5651,3.94369,0.00999648,0.00999648,0.00999648
8,309.024,1.90141,2.23741,2.20441,0.20312,0.03429,0.00322,0.00058,2.93054,9.28196,3.60915,0.00999521,0.00999521,0.00999521
9,347.168,1.88825,2.21897,2.19665,0.10946,0.08196,0.0215,0.00284,2.46041,27.7147,2.9734,0.00999375,0.00999375,0.00999375
10,384.725,1.82988,2.03071,2.13819,0.12456,0.00268,0.00323,0.0011,2.99765,4.22328,3.64139,0.00999209,0.00999209,0.00999209
11,422.796,1.80535,2.00573,2.13851,0.26777,0.10969,0.15583,0.05407,2.29517,4.97179,2.7791,0.00999023,0.00999023,0.00999023
12,460.46,1.8032,1.89494,2.12938,0.05007,0.01544,0.02517,0.00756,2.61833,4.7331,3.36278,0.00998818,0.00998818,0.00998818
13,497.907,1.74264,1.82922,2.06811,0.2724,0.05066,0.15888,0.06269,2.37806,2.81974,2.92188,0.00998594,0.00998594,0.00998594
14,535.75,1.75442,1.80517,2.06293,0.11809,0.0502,0.072,0.03702,2.36099,2.71426,2.90771,0.0099835,0.0099835,0.0099835
15,573.613,1.73111,1.77929,2.04323,0.39682,0.21598,0.23521,0.09121,2.15383,2.22007,2.58467,0.00998086,0.00998086,0.00998086
16,611.861,1.71935,1.726,2.02379,0.30779,0.06699,0.18092,0.07666,2.25581,2.53837,2.78995,0.00997803,0.00997803,0.00997803
17,649.913,1.70109,1.68221,2.02104,0.37203,0.04816,0.20562,0.09515,2.19664,2.40857,2.7424,0.00997501,0.00997501,0.00997501
18,687.56,1.69623,1.65952,2.00813,0.19141,0.08235,0.12227,0.05824,2.17467,2.4492,2.64792,0.00997179,0.00997179,0.00997179
19,725.245,1.67766,1.63152,2.00554,0.25504,0.10088,0.16744,0.08114,2.1742,2.29122,2.62566,0.00996838,0.00996838,0.00996838
20,763.728,1.68622,1.60634,2.00877,0.27059,0.11608,0.17761,0.07409,2.13462,2.24775,2.55886,0.00996477,0.00996477,0.00996477
21,801.574,1.66559,1.58422,2.00866,0.26341,0.09541,0.174,0.07855,2.21987,2.29359,2.65147,0.00996097,0.00996097,0.00996097
22,839.174,1.66234,1.56074,1.99519,0.42242,0.1124,0.25559,0.10746,2.12007,2.05189,2.63689,0.00995697,0.00995697,0.00995697
23,876.608,1.64666,1.57651,1.9822,0.41319,0.1053,0.25813,0.11946,2.05092,1.89434,2.46009,0.00995278,0.00995278,0.00995278
24,914.151,1.64628,1.50795,1.9732,0.32502,0.14004,0.22311,0.10598,2.08168,2.01233,2.50295,0.0099484,0.0099484,0.0099484
25,951.59,1.6425,1.5095,1.98029,0.28502,0.10777,0.1966,0.09337,2.12434,2.09581,2.52007,0.00994383,0.00994383,0.00994383
26,989.102,1.62034,1.45617,1.95971,0.36272,0.11509,0.22913,0.10073,2.1571,2.1747,2.68315,0.00993906,0.00993906,0.00993906
27,1026.75,1.62115,1.4735,1.96576,0.20695,0.16491,0.17116,0.07941,2.10897,2.04482,2.54758,0.0099341,0.0099341,0.0099341
28,1064.21,1.62274,1.44928,1.96373,0.47608,0.07877,0.26905,0.1495,2.15946,2.22722,2.61968,0.00992894,0.00992894,0.00992894
29,1101.58,1.62085,1.44035,1.95901,0.28888,0.11518,0.19163,0.09446,2.12805,2.1202,2.54236,0.00992359,0.00992359,0.00992359
30,1139,1.61033,1.41933,1.9467,0.41579,0.10196,0.25297,0.11171,2.08156,1.94835,2.48882,0.00991805,0.00991805,0.00991805
31,1176.49,1.61007,1.38529,1.94606,0.33021,0.0914,0.20725,0.10763,2.07874,1.98343,2.50689,0.00991232,0.00991232,0.00991232
32,1214.02,1.5987,1.38079,1.93802,0.51912,0.10359,0.30898,0.16497,2.09026,2.05375,2.47284,0.0099064,0.0099064,0.0099064
33,1251.59,1.60026,1.37528,1.93455,0.27806,0.12379,0.1937,0.08918,2.07302,2.17244,2.46131,0.00990028,0.00990028,0.00990028
34,1289.25,1.58126,1.35395,1.92478,0.26079,0.07514,0.16576,0.08071,2.1364,2.26546,2.56549,0.00989398,0.00989398,0.00989398
35,1326.79,1.57939,1.33933,1.92429,0.42941,0.10105,0.26324,0.13498,2.12893,2.0938,2.5725,0.00988748,0.00988748,0.00988748
36,1364.73,1.577,1.32438,1.9236,0.42261,0.17715,0.29592,0.14998,2.04537,1.81676,2.44314,0.00988079,0.00988079,0.00988079
37,1402.82,1.56977,1.31612,1.9199,0.15488,0.02481,0.08912,0.04044,2.35633,3.18271,2.70528,0.00987391,0.00987391,0.00987391
38,1440.41,1.57325,1.32369,1.92206,0.42999,0.15686,0.28152,0.13723,2.08021,1.83287,2.46932,0.00986684,0.00986684,0.00986684
39,1477.91,1.57205,1.29117,1.90815,0.46079,0.13373,0.2992,0.14663,2.13178,2.34389,2.52162,0.00985958,0.00985958,0.00985958
40,1516.73,1.55768,1.28648,1.90703,0.50198,0.13215,0.31202,0.1635,2.10108,1.85613,2.56528,0.00985213,0.00985213,0.00985213
41,1556.27,1.54823,1.2742,1.90424,0.35375,0.16909,0.25688,0.1241,2.03814,1.75859,2.41237,0.00984449,0.00984449,0.00984449
42,1596.13,1.5585,1.26521,1.89677,0.41805,0.13508,0.27144,0.1351,2.07427,1.76629,2.43787,0.00983666,0.00983666,0.00983666
43,1634.75,1.55206,1.24887,1.89718,0.5187,0.17383,0.3393,0.17937,2.05086,1.80337,2.47589,0.00982864,0.00982864,0.00982864
44,1673.35,1.54616,1.25245,1.8944,0.44265,0.15367,0.29911,0.14672,2.05451,1.75648,2.49849,0.00982043,0.00982043,0.00982043
45,1712.06,1.5457,1.22149,1.89106,0.51223,0.16865,0.33936,0.16247,2.04067,1.77904,2.4537,0.00981204,0.00981204,0.00981204
46,1750.75,1.53661,1.21605,1.88763,0.50038,0.24582,0.37158,0.18598,2.03888,1.68639,2.44818,0.00980345,0.00980345,0.00980345
47,1789.29,1.5315,1.19867,1.88333,0.58859,0.19836,0.38194,0.20181,2.04736,1.68745,2.41377,0.00979468,0.00979468,0.00979468
48,1827.97,1.53641,1.19604,1.88079,0.60679,0.19152,0.39453,0.19064,2.06925,1.71552,2.48156,0.00978572,0.00978572,0.00978572
49,1866.69,1.52321,1.19601,1.87492,0.52594,0.24007,0.37449,0.17563,2.06635,1.67091,2.47989,0.00977658,0.00977658,0.00977658
50,1905.52,1.52444,1.17566,1.86932,0.60964,0.23447,0.41114,0.20208,2.03007,1.62249,2.42499,0.00976725,0.00976725,0.00976725
51,1944.54,1.50949,1.15884,1.86627,0.52901,0.24662,0.37757,0.18662,2.09005,1.71234,2.48568,0.00975773,0.00975773,0.00975773
52,1983.31,1.51149,1.14265,1.86751,0.59415,0.25785,0.40644,0.19366,2.05967,1.60927,2.4473,0.00974803,0.00974803,0.00974803
53,2022.18,1.51141,1.15555,1.86731,0.51525,0.27428,0.37639,0.18317,2.05378,1.63146,2.47054,0.00973814,0.00973814,0.00973814
54,2060.9,1.50232,1.14134,1.85603,0.59571,0.25064,0.42689,0.21396,2.01284,1.54669,2.40703,0.00972806,0.00972806,0.00972806
55,2099.67,1.49564,1.12036,1.85418,0.45998,0.20228,0.31826,0.15577,2.14895,1.91907,2.54381,0.0097178,0.0097178,0.0097178
56,2138.63,1.49938,1.11813,1.85516,0.56213,0.27312,0.4153,0.19219,2.0294,1.50078,2.43121,0.00970736,0.00970736,0.00970736
