epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.4889,1.73546,3.1909,2.05098,0.2649,0.10209,0.16312,0.07236,2.14515,2.64136,2.8312,0.000219015,0.000219015,0.000219015
2,105.363,1.4502,1.8848,1.80463,0.10441,0.1284,0.05461,0.0212,2.25772,8.23199,3.09642,0.00044124,0.00044124,0.00044124
3,146.113,1.4983,1.88671,1.87313,0.09347,0.09865,0.04599,0.02658,2.64019,17.8406,4.27619,0.000663033,0.000663033,0.000663033
4,187.433,1.45629,1.75488,1.84119,0.07912,0.19084,0.07057,0.03301,2.31263,7.87382,3.17545,0.000665535,0.000665535,0.000665535
5,226.91,1.39369,1.59341,1.78753,0.19158,0.17535,0.14081,0.06076,2.26753,3.38812,2.68442,0.000664397,0.000664397,0.000664397
6,266.443,1.35001,1.49066,1.75296,0.23572,0.22818,0.19365,0.08059,2.10088,3.76099,2.51611,0.000662935,0.000662935,0.000662935
7,306.124,1.29749,1.3649,1.70866,0.36538,0.34839,0.321,0.14128,2.07291,2.55965,2.4959,0.000661152,0.000661152,0.000661152
8,345.587,1.26339,1.25212,1.67569,0.43694,0.32168,0.36547,0.17786,2.06798,2.17441,2.46578,0.000659049,0.000659049,0.000659049
9,384.766,1.21734,1.15268,1.643,0.43262,0.31052,0.3552,0.1732,2.13124,2.39704,2.50869,0.000656627,0.000656627,0.000656627
10,423.744,1.18056,1.07111,1.61019,0.40844,0.29302,0.31912,0.15749,2.17502,2.40233,2.58504,0.00065389,0.00065389,0.00065389
11,463.336,1.14258,0.96182,1.57415,0.43125,0.35595,0.38137,0.1765,2.19334,2.19431,2.62493,0.000650841,0.000650841,0.000650841
12,503.07,1.09455,0.87682,1.53195,0.37759,0.33896,0.34819,0.14479,2.30779,2.3093,2.77046,0.000647481,0.000647481,0.000647481
13,542.567,1.05548,0.80401,1.50035,0.38184,0.30962,0.31618,0.15087,2.3265,2.3166,2.87246,0.000643815,0.000643815,0.000643815
14,582.241,1.01087,0.72999,1.46078,0.32946,0.33583,0.3071,0.14486,2.33098,2.25851,2.91233,0.000639845,0.000639845,0.000639845
15,621.792,0.9666,0.67862,1.42103,0.38145,0.30501,0.32697,0.14275,2.41694,2.43451,3.06559,0.000635577,0.000635577,0.000635577
16,661.599,0.92462,0.62465,1.38583,0.3642,0.35231,0.33421,0.15054,2.37671,2.30008,3.04976,0.000631014,0.000631014,0.000631014
17,701.17,0.88289,0.58648,1.34486,0.37408,0.34986,0.34179,0.15085,2.39794,2.29553,3.07462,0.000626161,0.000626161,0.000626161
18,740.713,0.84116,0.55755,1.30847,0.35188,0.36974,0.32108,0.13628,2.41344,2.34276,3.09623,0.000621022,0.000621022,0.000621022
19,780.195,0.80372,0.51405,1.27369,0.43218,0.3633,0.36363,0.17139,2.44617,2.46901,3.22089,0.000615603,0.000615603,0.000615603
20,819.345,0.77744,0.49536,1.24898,0.36185,0.33647,0.32897,0.14854,2.45051,2.34516,3.24029,0.000609908,0.000609908,0.000609908
21,858.369,0.73416,0.46422,1.21138,0.4167,0.35946,0.36557,0.15586,2.48719,2.63691,3.37092,0.000603944,0.000603944,0.000603944
22,897.95,0.70504,0.44524,1.18269,0.42728,0.33166,0.35309,0.15752,2.48628,2.48646,3.40159,0.000597717,0.000597717,0.000597717
23,937.51,0.66942,0.41946,1.15141,0.38135,0.32536,0.31455,0.13796,2.53621,2.66564,3.51518,0.000591232,0.000591232,0.000591232
