epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5567,2.58766,4.61857,2.39462,0.16192,0.21563,0.13568,0.05133,2.1467,5.84728,2.262,0.000218804,0.000218804,0.000218804
2,72.0686,2.05563,2.62891,1.98773,0.15667,0.24512,0.14474,0.05673,2.16862,4.21551,2.31248,0.000399434,0.000399434,0.000399434
3,100.128,1.97486,2.37094,2.00329,0.20076,0.21495,0.18648,0.0834,2.06451,3.35115,2.19434,0.00043654,0.00043654,0.00043654
4,125.682,1.90472,2.12979,1.93549,0.34478,0.18736,0.24788,0.11106,1.9754,2.12116,2.02548,0.000234808,0.000234808,0.000234808
5,152.371,1.79261,1.88424,1.84505,0.48483,0.19426,0.3322,0.16424,1.92819,1.95948,1.97839,6.97259e-05,6.97259e-05,6.97259e-05
