epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4724,2.3588,3.53451,2.21673,0.19228,0.12095,0.14246,0.05723,2.21648,2.77628,2.16571,0.00330688,0.00330688,0.00330688
2,100.785,1.8662,2.12696,1.75187,0.20315,0.15562,0.16052,0.06671,2.28396,3.27643,2.2432,0.00664015,0.00664015,0.00664015
3,143.018,1.91973,2.15295,1.79451,0.05272,0.08917,0.03474,0.01235,2.5493,5.65003,2.6945,0.00997316,0.00997316,0.00997316
4,186.964,1.99665,2.27562,1.8856,0.21046,0.0802,0.05729,0.02383,2.53374,6.31007,2.6033,0.00999912,0.00999912,0.00999912
5,228.431,1.92371,2.09055,1.81151,0.1963,0.05533,0.10882,0.04907,2.83893,6.13311,3.01463,0.00999844,0.00999844,0.00999844
6,270.415,1.82164,1.85328,1.76151,0.21018,0.11027,0.1365,0.06217,2.47635,3.39801,2.47633,0.00999756,0.00999756,0.00999756
7,313.466,1.73102,1.67397,1.71084,0.1781,0.06072,0.10889,0.04067,2.58156,4.08707,2.61194,0.00999648,0.00999648,0.00999648
8,355.673,1.67022,1.52913,1.65316,0.19977,0.18882,0.17686,0.07201,2.32362,2.73152,2.3767,0.00999521,0.00999521,0.00999521
9,397.764,1.58842,1.40465,1.59807,0.1944,0.1383,0.14718,0.05579,2.49232,2.99887,2.60071,0.00999375,0.00999375,0.00999375
10,440.992,1.51453,1.29203,1.55915,0.27879,0.11443,0.18319,0.07482,2.37165,2.90672,2.43744,0.00999209,0.00999209,0.00999209
11,484.773,1.45401,1.20319,1.51822,0.31918,0.14902,0.21848,0.09626,2.29395,2.53747,2.3386,0.00999023,0.00999023,0.00999023
12,527.557,1.39988,1.13884,1.46697,0.34139,0.2454,0.27258,0.12087,2.27109,2.23081,2.35991,0.00998818,0.00998818,0.00998818
13,568.074,1.36134,1.08869,1.42486,0.33119,0.17069,0.23214,0.1041,2.28508,2.45246,2.33408,0.00998594,0.00998594,0.00998594
14,611.766,1.28558,1.01167,1.40109,0.33461,0.14104,0.22697,0.10087,2.23073,2.45905,2.29434,0.0099835,0.0099835,0.0099835
15,655.58,1.24265,0.97376,1.3625,0.40381,0.17937,0.27812,0.11798,2.25651,2.45443,2.30001,0.00998086,0.00998086,0.00998086
16,697.358,1.19861,0.93104,1.32254,0.34651,0.22484,0.26624,0.11115,2.26024,2.19213,2.28894,0.00997803,0.00997803,0.00997803
17,741.218,1.15418,0.88986,1.31135,0.39171,0.19179,0.28177,0.1237,2.17182,2.22291,2.23886,0.00997501,0.00997501,0.00997501
18,784.144,1.14323,0.88373,1.29647,0.35831,0.20889,0.26635,0.12175,2.19574,2.16583,2.29184,0.00997179,0.00997179,0.00997179
19,824.82,1.11049,0.84513,1.25463,0.3806,0.20445,0.27829,0.12054,2.12861,2.07408,2.2322,0.00996838,0.00996838,0.00996838
20,867.735,1.07445,0.82301,1.24904,0.39541,0.21423,0.28292,0.12881,2.15039,2.18808,2.19676,0.00996477,0.00996477,0.00996477
21,910.795,1.07786,0.82757,1.24223,0.3817,0.19109,0.27469,0.12755,2.14395,2.12463,2.22573,0.00996097,0.00996097,0.00996097
22,954.04,1.04028,0.79407,1.22325,0.37147,0.20849,0.269,0.12009,2.15385,2.09144,2.23662,0.00995697,0.00995697,0.00995697
