epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2465,2.61406,4.59291,2.85203,0.31919,0.12865,0.22551,0.10558,2.09541,2.70655,2.43172,0.00328502,0.00328502,0.00328502
2,76.5752,1.99431,2.61669,2.1881,0.24183,0.17164,0.17445,0.07728,2.14014,3.81498,2.69451,0.00661829,0.00661829,0.00661829
3,108.613,2.03358,2.58941,2.20958,0.12435,0.03882,0.05359,0.01968,2.50022,5.92697,3.61781,0.0099513,0.0099513,0.0099513
4,141.185,2.08611,2.68653,2.3238,0.01703,0.03752,0.01,0.00387,2.82398,6.24606,3.40521,0.00999912,0.00999912,0.00999912
5,173.886,2.06143,2.62452,2.32514,0.12797,0.05166,0.07426,0.02999,2.62028,4.31314,3.3017,0.00999844,0.00999844,0.00999844
6,207.355,2.02332,2.51766,2.29741,0.12082,0.1369,0.09041,0.03549,2.27014,4.47959,2.92961,0.00999756,0.00999756,0.00999756
7,239.433,1.99686,2.43288,2.2578,0.09931,0.03009,0.05882,0.02551,2.47623,4.00338,2.97561,0.00999648,0.00999648,0.00999648
8,271.587,1.98513,2.38398,2.26301,0.14356,0.09815,0.10782,0.04754,2.23927,3.49355,2.71771,0.00999521,0.00999521,0.00999521
9,303.977,1.9702,2.30389,2.24639,0.27267,0.14165,0.19312,0.08755,2.07934,2.60196,2.54176,0.00999375,0.00999375,0.00999375
10,336.176,1.94891,2.25572,2.20458,0.17088,0.07325,0.11699,0.05162,2.18202,3.0357,2.66639,0.00999209,0.00999209,0.00999209
11,368.808,1.93527,2.24481,2.20774,0.32359,0.18304,0.23669,0.11562,2.00657,2.42451,2.39199,0.00999023,0.00999023,0.00999023
12,401.041,1.9269,2.20399,2.20586,0.28688,0.09142,0.17804,0.07341,2.2159,3.15363,2.63183,0.00998818,0.00998818,0.00998818
13,433.067,1.9016,2.16853,2.17962,0.31886,0.11976,0.20604,0.09458,2.04321,2.55631,2.43725,0.00998594,0.00998594,0.00998594
14,465.259,1.90208,2.13081,2.17562,0.34643,0.17048,0.23705,0.11555,1.98584,2.44496,2.36834,0.0099835,0.0099835,0.0099835
15,497.279,1.88707,2.10833,2.17477,0.38544,0.12664,0.2453,0.11269,2.07613,2.41885,2.51947,0.00998086,0.00998086,0.00998086
16,529.631,1.88356,2.07844,2.16756,0.37156,0.25592,0.30632,0.14196,1.96388,2.16663,2.34038,0.00997803,0.00997803,0.00997803
17,562.092,1.87817,2.06264,2.15101,0.36977,0.21231,0.27965,0.12838,1.94387,2.19573,2.30797,0.00997501,0.00997501,0.00997501
18,594.411,1.86677,2.03986,2.14913,0.39846,0.16433,0.26884,0.13666,1.98037,2.46936,2.37793,0.00997179,0.00997179,0.00997179
19,626.565,1.8563,1.99685,2.13371,0.47417,0.1446,0.29115,0.14106,2.00537,2.438,2.37994,0.00996838,0.00996838,0.00996838
20,659.077,1.84858,1.98405,2.12151,0.46664,0.23607,0.3423,0.15349,1.94486,2.13865,2.32673,0.00996477,0.00996477,0.00996477
21,691.48,1.84939,1.97971,2.12217,0.40804,0.256,0.31067,0.14255,1.95973,2.15942,2.33871,0.00996097,0.00996097,0.00996097
22,723.843,1.84374,1.9452,2.12471,0.39261,0.28397,0.33299,0.16392,1.94069,2.06513,2.32044,0.00995697,0.00995697,0.00995697
23,756.178,1.83502,1.91988,2.11005,0.49936,0.20475,0.34331,0.16669,2.01038,2.20401,2.36041,0.00995278,0.00995278,0.00995278
24,788.509,1.82143,1.89997,2.10525,0.43864,0.25821,0.34825,0.16643,1.93148,2.0783,2.34747,0.0099484,0.0099484,0.0099484
25,820.852,1.81624,1.87622,2.10454,0.42389,0.25439,0.33501,0.15453,1.96463,2.17536,2.32308,0.00994383,0.00994383,0.00994383
26,853.306,1.8116,1.86363,2.09033,0.51694,0.28526,0.39726,0.18478,1.97513,2.10946,2.32488,0.00993906,0.00993906,0.00993906
27,885.958,1.81524,1.84093,2.08864,0.43699,0.23998,0.33039,0.15774,1.98592,2.23448,2.3448,0.0099341,0.0099341,0.0099341
28,918.137,1.80842,1.8478,2.08895,0.54047,0.27532,0.39399,0.19102,1.95615,2.02683,2.32946,0.00992894,0.00992894,0.00992894
29,950.475,1.79577,1.82204,2.07272,0.45434,0.2564,0.34296,0.15791,1.95985,2.04899,2.34105,0.00992359,0.00992359,0.00992359
30,982.68,1.79064,1.80884,2.08172,0.47313,0.22603,0.34119,0.17063,1.99129,2.19396,2.36514,0.00991805,0.00991805,0.00991805
31,1014.98,1.78013,1.78908,2.05505,0.45678,0.30359,0.35675,0.16916,1.95859,1.96747,2.29824,0.00991232,0.00991232,0.00991232
32,1047.3,1.7813,1.76796,2.05983,0.53015,0.2956,0.406,0.17597,1.97699,2.04943,2.33298,0.0099064,0.0099064,0.0099064
33,1079.65,1.77061,1.74892,2.05735,0.44722,0.28558,0.35761,0.17135,1.97873,2.09924,2.33035,0.00990028,0.00990028,0.00990028
34,1112.14,1.77092,1.73615,2.05663,0.49836,0.34006,0.41964,0.19815,1.97715,1.95424,2.3606,0.00989398,0.00989398,0.00989398
35,1144.66,1.76899,1.72036,2.05507,0.53167,0.33193,0.41178,0.17692,1.97118,2.00098,2.31939,0.00988748,0.00988748,0.00988748
36,1177.05,1.75571,1.70886,2.03628,0.5579,0.29799,0.43128,0.19329,1.98291,2.0038,2.35049,0.00988079,0.00988079,0.00988079
37,1209.43,1.75824,1.68929,2.02463,0.50038,0.32625,0.40892,0.18424,1.98051,1.96739,2.33762,0.00987391,0.00987391,0.00987391
38,1241.73,1.74772,1.67379,2.02646,0.5859,0.30981,0.434,0.21116,1.9607,2.00609,2.32904,0.00986684,0.00986684,0.00986684
39,1274.18,1.74878,1.64742,2.03512,0.48616,0.36753,0.4217,0.19581,1.9659,1.90809,2.3312,0.00985958,0.00985958,0.00985958
