epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.908,3.12734,0.00028,2.61162,0.10001,0.00533,1e-05,0,4.48021,0.10775,4.08124,0.0672946,3.27381e-05,3.27381e-05
2,172.761,2.29307,0.00018,2.15769,0.20418,0.06897,0.01491,0.00493,2.56829,0.03657,2.46314,0.0339946,6.60708e-05,6.60708e-05
3,218.495,2.16573,0.00018,2.1045,0.20994,0.11772,0.05359,0.01887,2.50225,0.00076,2.44403,0.000694639,9.94009e-05,9.94009e-05
