epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1084,3.49497,0.00045,2.92421,0.10017,0.005,6e-05,2e-05,2.91741,0.00044,2.46347,0.00327381,0.00327381,0.00327381
2,117.421,2.56357,0.00048,2.05096,0.00185,0.00621,0.00096,0.00037,3.0778,0.00044,2.83383,0.00660708,0.00660708,0.00660708
3,179.973,2.6559,0.00046,2.15089,0.0003,0.0003,0.00015,4e-05,nan,nan,nan,0.00994009,0.00994009,0.00994009
4,220.214,2.84813,0.00045,2.26793,0.0003,0.0003,0.00015,4e-05,nan,nan,nan,0.00999912,0.00999912,0.00999912
5,261.626,2.89417,0.00041,2.2963,0.10463,0.01156,0.00135,0.00042,4.28787,0.00501,4.51554,0.00999844,0.00999844,0.00999844
6,301.889,2.87001,0.00038,2.25276,0.10547,0.06285,0.00246,0.00086,3.54255,0.00256,3.60922,0.00999756,0.00999756,0.00999756
7,343.856,2.85084,0.00035,2.29208,0.00195,0.02647,0.00109,0.00039,4.04162,0.00036,3.31399,0.00999648,0.00999648,0.00999648
8,384.468,2.78444,0.00032,2.30155,0.02791,0.0292,0.01134,0.00345,3.66451,0.00129,2.90432,0.00999521,0.00999521,0.00999521
9,426.65,2.77415,0.00028,2.3257,0.12691,0.04148,0.01225,0.0042,3.40982,0.00036,3.25369,0.00999375,0.00999375,0.00999375
10,466.639,2.75657,0.00026,2.33552,0.12115,0.05763,0.01342,0.0051,3.19497,0.00025,2.88751,0.00999209,0.00999209,0.00999209
11,508.515,2.70612,0.00025,2.29272,0.11632,0.03329,0.00492,0.00143,4.15734,0.00035,4.44015,0.00999023,0.00999023,0.00999023
12,549.122,2.68357,0.00024,2.28415,0.06788,0.02294,0.03623,0.01694,3.45014,0.00032,3.2278,0.00998818,0.00998818,0.00998818
13,590.813,2.66576,0.00023,2.28,0.03784,0.08627,0.02597,0.00929,3.16862,0.00024,2.88741,0.00998594,0.00998594,0.00998594
14,632.195,2.61267,0.00022,2.23942,0.04269,0.10024,0.02838,0.01309,3.17761,0.00043,3.10041,0.0099835,0.0099835,0.0099835
15,673.013,2.59476,0.00022,2.2464,0.0728,0.16059,0.06008,0.02355,2.74449,0.00018,2.39876,0.00998086,0.00998086,0.00998086
16,715.743,2.5829,0.00021,2.23154,0.02941,0.08871,0.02509,0.0095,3.36858,0.00025,3.28884,0.00997803,0.00997803,0.00997803
17,757.177,2.56096,0.00021,2.20753,0.04504,0.17409,0.0418,0.01761,2.78938,0.00021,2.51206,0.00997501,0.00997501,0.00997501
18,798.789,2.53728,0.0002,2.1972,0.05566,0.12726,0.04327,0.01846,2.84205,0.00019,2.50008,0.00997179,0.00997179,0.00997179
19,838.969,2.51561,0.0002,2.17837,0.09161,0.15747,0.06677,0.02716,2.65933,0.00018,2.35728,0.00996838,0.00996838,0.00996838
20,880.731,2.49391,0.0002,2.18026,0.09369,0.18398,0.07598,0.03296,2.68797,0.00021,2.43901,0.00996477,0.00996477,0.00996477
21,921.694,2.4989,0.0002,2.17771,0.11055,0.16201,0.08346,0.03552,2.59939,0.00017,2.33655,0.00996097,0.00996097,0.00996097
22,962.34,2.47251,0.0002,2.17642,0.0931,0.14255,0.0666,0.02753,2.60402,0.00017,2.36863,0.00995697,0.00995697,0.00995697
23,1003.49,2.41426,0.00019,2.14251,0.08317,0.18125,0.0722,0.02873,2.53682,0.00017,2.31856,0.00995278,0.00995278,0.00995278
24,1044.28,2.40247,0.00019,2.15068,0.08539,0.18445,0.07152,0.0288,2.66223,0.00017,2.41507,0.0099484,0.0099484,0.0099484
25,1087.2,2.40926,0.00019,2.14558,0.09794,0.20784,0.08129,0.0333,2.57088,0.00017,2.34377,0.00994383,0.00994383,0.00994383
26,1128.17,2.39635,0.00019,2.13328,0.0195,0.03026,0.01291,0.00484,3.58116,0.00029,3.72665,0.00993906,0.00993906,0.00993906
27,1170.29,2.38807,0.00019,2.13138,0.08308,0.19256,0.08012,0.03026,2.63526,0.00018,2.46376,0.0099341,0.0099341,0.0099341
28,1210.89,2.376,0.00019,2.13716,0.04017,0.08394,0.02566,0.01154,2.94215,0.00022,2.91116,0.00992894,0.00992894,0.00992894
29,1253.42,2.33497,0.00019,2.11743,0.12118,0.19651,0.1114,0.04618,2.56362,0.00017,2.39963,0.00992359,0.00992359,0.00992359
30,1294.22,2.32828,0.00019,2.11342,0.08701,0.19738,0.08922,0.03591,2.59444,0.00017,2.46324,0.00991805,0.00991805,0.00991805
31,1336.33,2.30709,0.00018,2.1063,0.10541,0.17776,0.09085,0.03642,2.50294,0.00017,2.32994,0.00991232,0.00991232,0.00991232
32,1377.49,2.31107,0.00018,2.1114,0.10337,0.05413,0.06061,0.02383,3.07022,0.00021,3.03532,0.0099064,0.0099064,0.0099064
33,1418.8,2.28679,0.00018,2.11866,0.12363,0.20174,0.09727,0.04068,2.47091,0.00016,2.31646,0.00990028,0.00990028,0.00990028
34,1460.55,2.29003,0.00018,2.10049,0.10523,0.25004,0.10503,0.04493,2.42094,0.00016,2.25064,0.00989398,0.00989398,0.00989398
35,1501.31,2.2549,0.00018,2.09905,0.07858,0.25338,0.09178,0.03703,2.47027,0.00017,2.31747,0.00988748,0.00988748,0.00988748
36,1542.86,2.2399,0.00018,2.08969,0.10258,0.25487,0.11433,0.04925,2.4443,0.00017,2.31259,0.00988079,0.00988079,0.00988079
37,1583.66,2.21769,0.00018,2.08231,0.10872,0.23735,0.11845,0.05362,2.42667,0.00017,2.30326,0.00987391,0.00987391,0.00987391
38,1625.73,2.21517,0.00018,2.08103,0.102,0.19282,0.09892,0.04456,2.50061,0.00017,2.39242,0.00986684,0.00986684,0.00986684
39,1665.95,2.21758,0.00018,2.07208,0.14296,0.21871,0.12079,0.05166,2.36816,0.00016,2.26111,0.00985958,0.00985958,0.00985958
40,1707.61,2.20867,0.00018,2.08156,0.10694,0.16449,0.09369,0.03941,2.50568,0.00017,2.44234,0.00985213,0.00985213,0.00985213
41,1747.88,2.20752,0.00018,2.09425,0.1075,0.21982,0.10484,0.04689,2.42918,0.00017,2.34673,0.00984449,0.00984449,0.00984449
42,1788.98,2.20108,0.00018,2.07477,0.14071,0.21741,0.13428,0.06009,2.4373,0.00016,2.28397,0.00983666,0.00983666,0.00983666
43,1831.26,2.18793,0.00018,2.06513,0.13841,0.23954,0.12176,0.05541,2.39605,0.00016,2.31687,0.00982864,0.00982864,0.00982864
44,1873.18,2.18735,0.00018,2.06878,0.11479,0.22956,0.11959,0.05395,2.34191,0.00016,2.26239,0.00982043,0.00982043,0.00982043
45,1915.07,2.1867,0.00018,2.07368,0.17413,0.23062,0.13913,0.05874,2.38201,0.00016,2.26799,0.00981204,0.00981204,0.00981204
46,1956.25,2.1587,0.00018,2.0657,0.09812,0.26535,0.10753,0.04672,2.41859,0.00016,2.35724,0.00980345,0.00980345,0.00980345
47,1999.45,2.15132,0.00018,2.06861,0.14517,0.20235,0.12389,0.05265,2.37423,0.00016,2.31578,0.00979468,0.00979468,0.00979468
48,2041.48,2.15977,0.00018,2.0694,0.12822,0.19825,0.11567,0.05243,2.35532,0.00016,2.2839,0.00978572,0.00978572,0.00978572
49,2083.36,2.13262,0.00018,2.0584,0.16913,0.23,0.15189,0.0701,2.3568,0.00016,2.27542,0.00977658,0.00977658,0.00977658
50,2124.45,2.1458,0.00018,2.05655,0.14249,0.22573,0.14235,0.06426,2.37789,0.00016,2.29964,0.00976725,0.00976725,0.00976725
51,2165.46,2.13571,0.00018,2.05005,0.17557,0.21174,0.13124,0.05898,2.32533,0.00017,2.27547,0.00975773,0.00975773,0.00975773
52,2206.17,2.12445,0.00018,2.05378,0.16035,0.19543,0.13586,0.06114,2.40522,0.00016,2.34703,0.00974803,0.00974803,0.00974803
53,2247.2,2.11405,0.00018,2.06274,0.24551,0.24425,0.14112,0.06258,2.33715,0.00016,2.29151,0.00973814,0.00973814,0.00973814
54,2288.69,2.12551,0.00018,2.04807,0.13011,0.13921,0.10081,0.04407,2.51266,0.00018,2.47064,0.00972806,0.00972806,0.00972806
55,2330.38,2.0993,0.00018,2.05931,0.11967,0.2062,0.11805,0.05207,2.39096,0.00017,2.35146,0.0097178,0.0097178,0.0097178
56,2372.35,2.09103,0.00018,2.04245,0.23372,0.25429,0.1367,0.06475,2.32756,0.00016,2.25058,0.00970736,0.00970736,0.00970736
57,2413.32,2.07793,0.00018,2.02673,0.11696,0.22004,0.12083,0.05435,2.36727,0.00016,2.31962,0.00969673,0.00969673,0.00969673
58,2457.53,2.07422,0.00018,2.02576,0.14595,0.1977,0.13001,0.06043,2.32782,0.00016,2.29401,0.00968592,0.00968592,0.00968592
59,2500.7,2.09705,0.00018,2.03743,0.13162,0.24183,0.13885,0.06231,2.3402,0.00016,2.29764,0.00967493,0.00967493,0.00967493
60,2545.6,2.08037,0.00018,2.02026,0.15175,0.22672,0.14793,0.0648,2.2738,0.00016,2.21717,0.00966375,0.00966375,0.00966375
61,2588.22,2.07557,0.00018,2.0264,0.13417,0.23457,0.12639,0.05583,2.33773,0.00016,2.27853,0.00965239,0.00965239,0.00965239
62,2631.22,2.06622,0.00018,2.02278,0.19032,0.24377,0.17459,0.08417,2.34262,0.00016,2.2812,0.00964085,0.00964085,0.00964085
63,2672.57,2.06048,0.00018,2.02383,0.15623,0.27099,0.16651,0.07271,2.2824,0.00016,2.25206,0.00962913,0.00962913,0.00962913
64,2714.76,2.05586,0.00018,2.01803,0.13554,0.21458,0.13423,0.06371,2.3405,0.00016,2.28006,0.00961723,0.00961723,0.00961723
65,2757,2.04998,0.00018,2.00624,0.11769,0.24603,0.12183,0.05498,2.34786,0.00016,2.34272,0.00960515,0.00960515,0.00960515
66,2798.42,2.03558,0.00018,2.0135,0.17451,0.22475,0.15893,0.0719,2.29505,0.00016,2.26089,0.00959289,0.00959289,0.00959289
67,2840.31,2.04107,0.00018,2.00084,0.13814,0.23232,0.13704,0.06427,2.27677,0.00016,2.22993,0.00958044,0.00958044,0.00958044
68,2881.96,2.04468,0.00018,2.01307,0.14524,0.25126,0.14781,0.06825,2.26988,0.00016,2.24727,0.00956782,0.00956782,0.00956782
69,2924.07,2.03017,0.00018,2.00882,0.11519,0.28092,0.13403,0.06069,2.28788,0.00016,2.30215,0.00955502,0.00955502,0.00955502
70,2965.28,2.03062,0.00018,2.01227,0.1699,0.22669,0.15692,0.07387,2.36061,0.00016,2.37295,0.00954205,0.00954205,0.00954205
71,3007.9,2.04098,0.00018,2.01687,0.1336,0.2809,0.15423,0.0707,2.27936,0.00016,2.2699,0.00952889,0.00952889,0.00952889
72,3049.11,1.99826,0.00018,1.99872,0.13375,0.30553,0.16059,0.07383,2.28075,0.00016,2.26588,0.00951556,0.00951556,0.00951556
73,3091.28,2.01412,0.00018,2.00557,0.15487,0.27782,0.16602,0.07632,2.26545,0.00016,2.25515,0.00950206,0.00950206,0.00950206
74,3133.19,2.01209,0.00018,1.98794,0.1546,0.16312,0.12219,0.05597,2.45153,0.00017,2.44126,0.00948837,0.00948837,0.00948837
75,71.7756,1.98033,0.00018,1.97184,0.1607,0.25839,0.17197,0.07837,2.28371,0.00016,2.28063,0.00947452,0.00947452,0.00947452
76,112.598,2.01208,0.00018,1.99408,0.13817,0.24919,0.14033,0.06151,2.34009,0.00016,2.34469,0.00946048,0.00946048,0.00946048
77,155.062,2.00361,0.00018,2.0003,0.13322,0.3038,0.15588,0.07012,2.26115,0.00016,2.21923,0.00944628,0.00944628,0.00944628
78,197.334,1.9933,0.00018,1.99325,0.15231,0.28005,0.15724,0.07249,2.27593,0.00016,2.26989,0.00943189,0.00943189,0.00943189
