epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.9428,2.43763,4.12911,2.66416,0.07065,0.16223,0.05626,0.02447,2.14906,inf,2.87555,0.000218363,0.000218363,0.000218363
2,100.527,1.91429,2.3739,2.18955,0.15128,0.12201,0.0933,0.04805,2.36125,8.53,4.01986,0.000440589,0.000440589,0.000440589
3,136.181,1.91724,2.30181,2.21715,0.00217,0.11659,0.00155,0.00063,2.51063,inf,5.529,0.000662382,0.000662382,0.000662382
4,170.467,1.88221,2.18354,2.20269,0.29474,0.19421,0.13883,0.06149,2.14903,8.92854,2.88425,0.000665535,0.000665535,0.000665535
5,204.226,1.82652,2.04259,2.15921,0.10843,0.13724,0.07172,0.02957,2.26986,4.99903,3.00223,0.000664397,0.000664397,0.000664397
6,238.499,1.76584,1.86858,2.1064,0.41198,0.26491,0.24096,0.10397,2.11414,3.10135,2.64357,0.000662935,0.000662935,0.000662935
7,272.773,1.71984,1.73008,2.06433,0.27096,0.27681,0.25265,0.11978,2.11922,2.65741,2.52753,0.000661152,0.000661152,0.000661152
8,306.687,1.67049,1.59384,2.03014,0.34948,0.22143,0.27886,0.12189,2.14473,2.40516,2.56978,0.000659049,0.000659049,0.000659049
9,340.208,1.59936,1.4497,1.96602,0.27855,0.31897,0.29215,0.13273,2.12975,2.45532,2.54848,0.000656627,0.000656627,0.000656627
10,372.52,1.54207,1.29609,1.91176,0.35151,0.3568,0.3456,0.16046,2.18072,2.40956,2.60863,0.00065389,0.00065389,0.00065389
11,405.049,1.48036,1.17174,1.85807,0.42723,0.24677,0.33388,0.15311,2.26037,2.70216,2.65568,0.000650841,0.000650841,0.000650841
12,437.706,1.41678,1.06195,1.80264,0.4787,0.38036,0.34224,0.13921,2.26494,2.56786,2.83845,0.000647481,0.000647481,0.000647481
13,470.255,1.35764,0.96947,1.75088,0.40886,0.34929,0.35892,0.18095,2.30556,2.19313,2.82753,0.000643815,0.000643815,0.000643815
14,502.654,1.28165,0.87859,1.67864,0.36611,0.37089,0.34563,0.15839,2.31797,2.28436,2.92217,0.000639845,0.000639845,0.000639845
15,534.963,1.2176,0.79886,1.62491,0.40999,0.29757,0.32405,0.15143,2.39897,2.39937,2.99756,0.000635577,0.000635577,0.000635577
16,567.415,1.15495,0.75233,1.56958,0.45817,0.36545,0.39289,0.17317,2.40348,2.43603,3.06351,0.000631014,0.000631014,0.000631014
17,600.01,1.09967,0.69017,1.51905,0.40031,0.34523,0.33372,0.15887,2.42105,2.56217,3.14777,0.000626161,0.000626161,0.000626161
18,632.323,1.05095,0.64752,1.47757,0.45665,0.39852,0.39876,0.18189,2.40308,2.36099,3.1517,0.000621022,0.000621022,0.000621022
19,664.702,0.99296,0.60618,1.42036,0.40857,0.28429,0.31392,0.13998,2.45301,2.6309,3.25612,0.000615603,0.000615603,0.000615603
20,696.925,0.94568,0.57221,1.38305,0.4332,0.31978,0.34203,0.14855,2.46241,2.51931,3.26705,0.000609908,0.000609908,0.000609908
21,729.069,0.89953,0.53501,1.33896,0.3853,0.32893,0.35133,0.15625,2.45206,2.57505,3.32971,0.000603944,0.000603944,0.000603944
22,761.54,0.86108,0.50823,1.30309,0.41478,0.36893,0.33941,0.15865,2.47393,2.45537,3.45916,0.000597717,0.000597717,0.000597717
23,793.837,0.82383,0.48769,1.2699,0.37561,0.3413,0.31943,0.13022,2.496,2.68396,3.45057,0.000591232,0.000591232,0.000591232
24,826.102,0.77436,0.46286,1.22892,0.38623,0.31331,0.32011,0.14536,2.49937,2.7066,3.53503,0.000584495,0.000584495,0.000584495
25,858.33,0.74929,0.44194,1.20526,0.39012,0.32565,0.31951,0.14098,2.50705,2.76692,3.58543,0.000577515,0.000577515,0.000577515
26,890.537,0.71333,0.42206,1.17325,0.35601,0.32665,0.31632,0.14502,2.49813,2.90782,3.62583,0.000570297,0.000570297,0.000570297
27,922.769,0.68834,0.40112,1.15018,0.45329,0.30503,0.34675,0.15439,2.51995,2.80148,3.69579,0.000562848,0.000562848,0.000562848
28,954.972,0.65293,0.38632,1.11845,0.49602,0.28381,0.31167,0.15125,2.50264,2.68707,3.76948,0.000555177,0.000555177,0.000555177
29,987.117,0.63107,0.37485,1.09962,0.41516,0.28375,0.32419,0.14249,2.51435,2.98251,3.69366,0.00054729,0.00054729,0.00054729
30,1019.43,0.60598,0.36119,1.07806,0.47148,0.29697,0.36433,0.16791,2.47794,3.03706,3.67352,0.000539195,0.000539195,0.000539195
31,1051.59,0.5738,0.34316,1.05189,0.43524,0.28937,0.33847,0.15591,2.52777,3.11296,3.82435,0.000530901,0.000530901,0.000530901
32,1083.77,0.55303,0.33055,1.03646,0.47086,0.26873,0.3302,0.15877,2.50329,2.97301,3.86292,0.000522415,0.000522415,0.000522415
33,1115.88,0.53509,0.31943,1.01984,0.46628,0.27565,0.36062,0.1663,2.52895,3.15848,3.74302,0.000513746,0.000513746,0.000513746
34,1147.97,0.51316,0.30914,1.00324,0.43527,0.23366,0.32652,0.14895,2.53808,3.29398,3.78678,0.000504903,0.000504903,0.000504903
